@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
00111110011011010000111001110000, 7_134, 0, 1
00010101010100111011001101000100, 7_137, 0, 1
10100100011100111001000111010101, 7_138, 0, 1
11101001000011001010110001110111, 7_139, 0, 2
11111110111101001101110101010111, 7_140, 0, 1
11000000111000110111001101110011, 7_143, 0, 1
01100001001101001101001010110101, 7_144, 0, 4
10011010010110101011111011110011, 8_5, 0, 1
00011100000001110111001111000010, 8_7, 0, 1
00100001111111111110001000000110, 8_15, 0, 1
11011001010010111100000000100001, 8_16, 0, 3
01011110000110011001010101100010, 8_19, 0, 1
10100001001111110100100010110010, 8_20, 0, 1
11101010110011010001001010110110, 8_23, 0, 2
00100110101001110010011111110001, 8_25, 0, 1
11011100010100001100000111110001, 8_28, 0, 1
11111110001111111111101101010001, 8_36, 0, 1
01001100100000010101011000100101, 8_38, 0, 2
11101000110110101011001000100011, 8_43, 0, 2
01110000110101101000011101100111, 8_45, 0, 1
00010110111110110100000100010011, 8_47, 0, 1
11011010111101001011001001000001, 8_49, 0, 1
01010011101011110100110110110101, 8_53, 0, 1
01101101111111001100111010000000, 8_57, 0, 1
11100101111110100010110110010010, 8_59, 1, 1
11100000111100001010010011010001, 8_66, 0, 1
10110010000011101110111110100000, 8_76, 0, 1
11010111010110101001000001000000, 8_79, 0, 3
01010110110001111110010001100010, 8_81, 0, 1
01000011111010000111010001100001, 8_86, 0, 1
11101110101011001000001100010001, 8_88, 0, 3
11001100101010010011111011010111, 8_90, 0, 1
00000011010101010000100000010101, 8_91, 0, 2
10010100000010010000010101000101, 8_92, 1, 2
11011000001100010111111001000110, 8_94, 0, 1
10010010001000001011001111000101, 8_98, 0, 1
01011010100010010100111111100100, 8_99, 0, 1
10101100000110100001101011100101, 8_105, 0, 2
11011111011111000001001101000101, 8_107, 1, 5
01010000010001100101101011110010, 8_109, 0, 1
10011111101101110010111100110100, 8_113, 0, 1
10001000111011111101110010100001, 8_119, 0, 1
10001101011101100101100101010000, 8_126, 0, 1
11110111100010000000110101000100, 8_128, 0, 4
10010101110000100000101011100101, 8_129, 0, 1
01100010000110001100110010110000, 8_131, 0, 1
00001110100110011010011010000101, 8_134, 0, 3
00001011101101110101101001000100, 9_2, 0, 1
01111110111010010010010001010101, 9_6, 0, 1
11110011000001110001011001000010, 9_12, 0, 1
01010000110011111111101011000000, 9_14, 0, 1
01101100110011010100100010010110, 9_17, 0, 1
11010000111001011010100011000111, 9_20, 0, 3
01001010011110010000111100100001, 9_28, 0, 1
10011011110101001110110100110011, 9_32, 0, 1
00011110010110111101011001110001, 9_35, 1, 1
11001100010111001111100011110010, 9_38, 0, 1
01110111011000001000001011000010, 9_44, 0, 1
11101011111011001101111010100010, 9_53, 0, 1
11100001100100111011101011100011, 9_55, 0, 1
01001001110100100110010000000001, 9_63, 0, 1
11101001001111000001100100110110, 9_64, 0, 1
01010101111001001010111110110000, 9_71, 0, 3
11111110011010011010111010010011, 9_73, 0, 1
11100001000101111110110000100010, 9_75, 0, 1
00001110010101111010001000100111, 9_76, 0, 1
00010001000111011111110000010010, 9_77, 0, 1
11001111101001011010000000000101, 9_80, 0, 2
11110010000010000000011100100100, 9_81, 0, 1
10101111101100101110000011000110, 9_83, 0, 1
00010000101001000000010011110110, 9_84, 0, 1
11011100101001100111101001010100, 9_85, 0, 1
00101110101101011011001000010001, 9_86, 0, 1
00010000111010110011110100100001, 9_89, 1, 1
11000110101111111101100110000011, 9_93, 0, 1
11111011101011001010110000110100, 9_95, 0, 1
01000011110011011110110100110001, 9_105, 0, 1
10000011110110011111010000010011, 9_107, 0, 2
01000001010101110000101001110110, 9_109, 1, 2
01010100010011000000100100110100, 9_110, 1, 3
10010111000000101010100000100111, 9_112, 1, 1
01111010010011011000000001010010, 9_115, 0, 2
00101111101110110001110011110001, 9_118, 0, 1
01100001000101010110100000000011, 9_120, 0, 1
01100000111100110001010001110001, 9_124, 0, 1
10100100101100000101010010000110, 9_127, 0, 1
11111110001101111010111110100110, 9_128, 1, 1
11110110001110111000001111010010, 9_133, 0, 1
10001011011001101011100011100011, 9_136, 0, 1
11110111010011001101111001010100, 9_138, 0, 1
11111101111101101011110101100010, 9_140, 0, 1
10100001101000011100001000010010, 9_142, 0, 1
11111011101100100010110110010100, 10_2, 0, 3
00000101000111001110100101100110, 10_3, 0, 1
00000101001101000101010110100110, 10_4, 0, 1
11101101101101001101100001110111, 10_9, 0, 3
01011101111011100011001011010101, 10_10, 0, 1
00101110000010110100101000010110, 10_14, 0, 1
01010100100000111001111110100110, 10_15, 1, 1
00001110010011101110010000110110, 10_27, 0, 3
11110101100100100000110000100011, 10_31, 0, 1
11001010101101110111011111110111, 10_33, 0, 1
00111110110110111011111110000000, 10_35, 0, 1
00100011011011111001010010100100, 10_37, 0, 1
10001111100001011010100001010110, 10_40, 0, 1
01000001100010111001001100100000, 10_48, 0, 1
00101001010101101111000110100100, 10_49, 0, 1
10001100101100000111011001010110, 10_59, 0, 1
01011100010111001110100101110111, 10_61, 0, 1
11100001010110100111101111110111, 10_64, 0, 1
01001011000011100001001011100110, 10_65, 0, 1
10101111110100110111001111010010, 10_67, 0, 5
10000001010101010001100101100011, 10_69, 0, 1
00001000100000110101010110000001, 10_70, 0, 1
10110010111110110010001110010101, 10_71, 0, 1
10011111101010111001010101110111, 10_73, 1, 2
10001000010110101001011111010101, 10_77, 0, 1
11010010010100100100000111100001, 10_78, 0, 1
01111001011111100111010101100111, 10_86, 0, 1
11101000011110110011010101100110, 10_93, 0, 1
00010110101100110001010011000001, 10_94, 0, 3
11101001101110010101111111000011, 10_95, 0, 1
10010000100101110000100000100100, 10_99, 0, 1
01010011011011110100101011100010, 10_102, 0, 1
01101111000111101011010101110000, 10_104, 0, 1
01111000110001001110101000000001, 10_105, 0, 1
01011101101001110010001110010001, 10_108, 0, 2
00011110011010111101100011100011, 10_109, 0, 1
11111101111100011100001010000001, 10_124, 0, 1
01000001111011100110110100010010, 10_126, 0, 1
00110110011001011111011110000110, 10_129, 0, 1
01010110100100101010110111010001, 10_142, 0, 1
11100011011110100001001001110111, 11_1, 1, 1
01100010110100001110100100010010, 11_4, 0, 1
11101101101111010101000011000111, 11_16, 0, 1
00010011111001111000001110100000, 11_18, 0, 1
01101011101001111001010100110101, 11_19, 0, 2
11011100011010110000010011010001, 11_26, 0, 1
11001100101001111011000011100001, 11_37, 0, 3
