@RELATION PENCODE


@ATTRIBUTE 32BITSTRING STRING

@ATTRIBUTE IMAGENO STRING

@ATTRIBUTE ISRED NUMERIC

@ATTRIBUTE FREQUENCY NUMERIC


@DATA 
00000111011101001110101110100011, 3_20, 0, 1
11111000011011000010100110100001, 3_21, 0, 1
01100100111110101011001100000101, 3_22, 0, 1
10000101011111011110000101100111, 3_23, 0, 1
10010110000100110101000010000001, 3_24, 1, 1
01101001110111111011100111100010, 3_25, 0, 1
10100000010010011101001010010100, 3_26, 0, 1
11100101100101111010010001100110, 3_27, 0, 1
01010100100000111001111110100110, 3_28, 0, 1
11001100010101101101110001010101, 3_29, 0, 1
10110110010101110101011010000110, 3_30, 0, 1
00011110010001111001110101100000, 3_31, 0, 1
10010111000000010000000000100000, 3_32, 0, 1
11111000011011000010100110100001, 3_33, 0, 1
10000111001100110101001011110011, 3_34, 0, 1
11110111011010011010111011100001, 3_35, 0, 1
01101000101011011010111111100111, 3_36, 0, 1
01001101000110011100100101010110, 3_37, 0, 1
11000101000010101000011111000101, 3_38, 1, 1
11110011110100001110010101100001, 3_39, 0, 1
11111011100110100110011011110100, 3_40, 0, 1
00000110101001001001011000000110, 3_41, 0, 1
00101110110100001101100100000011, 3_42, 1, 1
11000010001011101101011100000011, 3_43, 0, 1
01010100100000111001111110100110, 3_44, 0, 1
10111000100111111001111110010000, 3_45, 0, 1
00100100101011010110110101110010, 3_46, 0, 1
10000110010111111011000000000110, 3_47, 0, 1
01101001110111111011100111100010, 3_48, 0, 1
01110010101110110111011110000111, 3_49, 0, 1
00010000000111101001111010000000, 3_50, 0, 1
01100000011010101111100001100111, 3_51, 0, 1
00110111010011011101000101000011, 3_52, 0, 1
11101011000110110111111000000011, 3_53, 0, 1
10000101011111011110000101100111, 3_54, 0, 1
11010000101111110000110101010000, 3_55, 0, 1
00000110101001001001011000000110, 3_56, 0, 1
01100101101110111010001100100110, 3_57, 0, 1
00000110101001001001011000000110, 3_58, 0, 1
00000100001000110100101000010111, 3_59, 0, 1
00000110101001001001011000000110, 3_60, 0, 1
10100000110110101000001110100110, 3_61, 0, 1
00000110101001001001011000000110, 3_62, 0, 1
10101111011100111100000111110010, 3_63, 0, 1
11011011111000110000000011010111, 3_64, 0, 1
10000101100010100110100101100011, 3_65, 0, 1
00000110101001001001011000000110, 3_66, 0, 1
11110110000101010001010000110101, 3_67, 0, 1
11111000011011000010100110100001, 3_68, 0, 1
11011110101011110010100110100100, 3_69, 0, 1
11111100101101100110111101100100, 3_70, 0, 1
11110110000000000110101000110010, 3_71, 0, 1
11100001100001100111111111100100, 3_72, 0, 1
01110010101110110111011110000111, 3_73, 0, 1
00010000000111101001111010000000, 3_74, 0, 1
00111100110110011111111001000100, 3_75, 0, 1
11000101000010101000011111000101, 3_76, 0, 1
10011100111011010010001010010100, 3_77, 0, 1
01010100100000111001111110100110, 3_78, 0, 1
11100110011000001001000111100010, 3_79, 0, 1
00101110110100001101100100000011, 3_80, 1, 1
01111101101000011110111100000110, 3_81, 0, 1
01100000011010101111100001100111, 3_82, 0, 1
00011011010001111000111001000110, 3_83, 0, 1
11001001101110110111111111000111, 3_84, 0, 1
10000101011111011110000101100111, 3_85, 0, 1
11111000011011000010100110100001, 3_86, 0, 1
01000011111101111000001000000010, 3_87, 0, 1
01111100011110001110101100110001, 3_88, 0, 1
01010100100000111001111110100110, 3_89, 0, 1
11001110000110101000100101110110, 3_90, 0, 1
11100101011110010000100100110101, 3_91, 0, 1
00101010010111011100111101010100, 3_92, 0, 1
10110000100110100111111010110100, 3_93, 0, 1
00000001000001011100000111110111, 3_94, 0, 1
11011101010110000000011000000001, 3_95, 0, 1
11100101000000000100001010100100, 3_96, 0, 1
11110111011010011010111011100001, 3_97, 0, 1
11100101000000000100001010100100, 3_98, 0, 1
10000101011111011110000101100111, 3_99, 0, 1
00001000000111010100101110110100, 3_100, 0, 1
00100110000000100000110010000011, 3_101, 0, 1
11010010110000001010010101010001, 3_102, 0, 1
00011110010001111001110101100000, 3_103, 0, 1
00000110101001001001011000000110, 3_104, 0, 1
11100110001010010001010110100111, 3_105, 0, 1
10010110111001110100011010000110, 3_106, 0, 1
00101110110100001101100100000011, 3_107, 1, 1
11100001100001100111111111100100, 3_108, 0, 1
10000100100001000000110110000000, 3_109, 0, 1
01100001111101001001101000010000, 3_110, 0, 1
01111100111011010110011010110001, 3_111, 0, 1
11110110000000000110101000110010, 3_112, 1, 1
11000111101010111000111010100101, 3_113, 0, 1
01111100100011011111011010000111, 3_114, 0, 1
10011101010101101011101010000011, 3_115, 0, 1
10000101011111011110000101100111, 3_116, 0, 1
10001000110010111111100110000100, 3_117, 0, 1
00011010001111011110000011100001, 3_118, 0, 1
11001110010100111001110100110100, 3_119, 0, 1
01101000101011011010111111100111, 3_120, 0, 1
01011000010111100011001001110001, 3_121, 0, 1
00000110101001001001011000000110, 3_122, 0, 1
01111100111011010110011010110001, 3_123, 0, 1
00101110110100001101100100000011, 3_124, 1, 1
01001000110010100101010101010001, 3_125, 0, 1
11010011110100011001110000100000, 3_126, 0, 1
01111100111011010110011010110001, 3_127, 0, 1
00000001110001111101000001110000, 3_128, 1, 1
10100010111011110011000111110011, 3_129, 0, 1
00101101110110111011010000010111, 3_130, 0, 1
10001110010111001101000111010001, 3_131, 0, 1
10110011001100100010001001000001, 3_132, 0, 1
10010110111001110100011010000110, 3_133, 0, 1
00101110110100001101100100000011, 3_134, 1, 1
01111100000011110110011100100100, 3_135, 0, 1
00011110010001111001110101100000, 3_136, 0, 1
11110100000101011011001100000000, 3_137, 0, 1
00000110101001001001011000000110, 3_138, 0, 1
10101111011100111100000111110010, 3_139, 0, 1
01000010100010001111111011000100, 3_140, 0, 1
10110110010101110101011010000110, 3_141, 0, 1
11001101010010110110000001010001, 3_142, 0, 1
01101000101011011010111111100111, 3_143, 0, 1
00100010101101011000100010110001, 3_144, 0, 1
11001001101110110111111111000111, 4_1, 0, 1
10000101011111011110000101100111, 4_2, 0, 1
11111000011011000010100110100001, 4_3, 0, 1
11000101111011001111101001000011, 4_4, 0, 1
00011110111110101000011010010000, 4_5, 0, 1
01111100111011010110011010110001, 4_6, 0, 1
01111100111011010110011010110001, 4_7, 0, 1
11001110010100111001110100110100, 4_8, 1, 1
01101010011010101110111011100000, 4_9, 0, 1
10001110010111001101000111010001, 4_10, 0, 1
00101111000100110011001010000011, 4_11, 0, 1
11000101000010101000011111000101, 4_12, 0, 1
01101000101011011010111111100111, 4_13, 0, 1
11010101100101011110101010000010, 4_14, 0, 1
00000110101001001001011000000110, 4_15, 0, 1
01111100111011010110011010110001, 4_16, 0, 1
01100000011010101111100001100111, 4_17, 0, 1
00110011111111101001010100110000, 4_18, 0, 1
01001000110010100101010101010001, 4_19, 0, 1
01111100111011010110011010110001, 4_20, 0, 1
00100011001010010101100011110000, 4_21, 1, 1
01111100111011010110011010110001, 4_22, 0, 1
00101110110100001101100100000011, 4_23, 1, 1
01011010110111011101100000000001, 4_24, 0, 1
01011001101110000100001100010101, 4_25, 0, 1
10101111011100111100000111110010, 4_26, 0, 1
10000000100001001111110011000110, 4_27, 0, 1
00011110010001111001110101100000, 4_28, 0, 1
01010100100000111001111110100110, 4_29, 0, 1
01100000011010101111100001100111, 4_30, 0, 1
01011101010100001111101100000001, 4_31, 0, 1
10000101011111011110000101100111, 4_32, 0, 1
00010101011100000011001000110000, 4_33, 0, 1
10101111011100111100000111110010, 4_34, 0, 1
